SMILES,MP,Type,MP_label,RDKit_TPSA,RDKit_FpDensityMorgan3,RDKit_BCUT2D_MRHI,RDKit_SMR_VSA10,RDKit_VSA_EState4,RDKit_NumRotatableBonds,RDKit_BertzCT,RDKit_BCUT2D_MWLOW,RDKit_MinPartialCharge,RDKit_MaxPartialCharge,RDKit_BCUT2D_MRLOW,RDKit_VSA_EState3,RDKit_qed,RDKit_Kappa3,RDKit_BCUT2D_LOGPHI,RDKit_RingCount,RDKit_PEOE_VSA7,RDKit_FractionCSP3,RDKit_BCUT2D_LOGPLOW,RDKit_BalabanJ,RDKit_MaxAbsPartialCharge,RDKit_MinAbsPartialCharge,RDKit_VSA_EState2,RDKit_FpDensityMorgan2,RDKit_VSA_EState1,RDKit_VSA_EState6,RDKit_PEOE_VSA8,RDKit_SlogP_VSA2,RDKit_SPS,RDKit_SlogP_VSA8,RDKit_VSA_EState5,RDKit_MinAbsEStateIndex,RDKit_VSA_EState9,RDKit_BCUT2D_CHGLO,RDKit_HallKierAlpha,RDKit_SlogP_VSA1,RDKit_SMR_VSA5,RDKit_PEOE_VSA10,RDKit_EState_VSA8,RDKit_BCUT2D_MWHI,RDKit_MinEStateIndex,RDKit_VSA_EState7,RDKit_BCUT2D_CHGHI,RDKit_SlogP_VSA4,RDKit_PEOE_VSA6,RDKit_PEOE_VSA9,RDKit_HeavyAtomMolWt,RDKit_SMR_VSA3,MACCS_155,RDKit_fr_bicyclic,MACCS_98,RDKit_NHOHCount,RDKit_AvgIpc,RDKit_MaxAbsEStateIndex,RDKit_VSA_EState8,RDKit_FpDensityMorgan1,RDKit_Phi,RDKit_SMR_VSA6,RDKit_Chi1,RDKit_MolMR,RDKit_Chi2v,RDKit_NumHDonors,RDKit_MolLogP,MACCS_126,RDKit_EState_VSA4,RDKit_fr_Ar_COO,RDKit_Kappa2,MACCS_89,RDKit_Chi3v,RDKit_EState_VSA3,RDKit_SlogP_VSA5,RDKit_SlogP_VSA3,MACCS_92,RDKit_SlogP_VSA6,MACCS_127,RDKit_fr_COO,RDKit_ExactMolWt,MACCS_131,RDKit_SMR_VSA4,MACCS_142,RDKit_fr_imidazole,RDKit_PEOE_VSA2,RDKit_Chi2n,RDKit_PEOE_VSA1,RDKit_PEOE_VSA11,RDKit_fr_Ar_NH,RDKit_NumHeteroatoms,RDKit_EState_VSA5,RDKit_PEOE_VSA12,MP_pred
O=NN1/C(=C/C(c2ccc(cc2)N(C)C)c2ccccc2)/C=Cc2c1cccc2,196.0,Test,L,-0.41626276051992983,-0.03975859445589379,-0.5376176487852135,-0.0056309537126346,1.3046162498608396,0.5392485684570918,1.9457093502988003,-0.8497675664706444,0.09718995456880256,-1.3026242281051408,1.5502831770764853,-0.3434345450350282,-0.4231527006974209,0.20946948968679055,0.5492008171836555,1.6369985146769856,0.7128137841735376,-0.61649532511807,-0.27433073252070256,-1.1562846576561034,-0.17122504972713679,-1.3500149957233336,0.19270991080105737,-0.4773048200257439,-0.5369125313295487,2.7002869071023645,2.163644238303011,-0.2603333382560652,0.010019976606878988,0.3629554951201259,0.07957462528274023,-0.7644400241240524,2.3362492095564207,-0.7596903396625745,-1.9712600566038514,1.3432148272641542,-0.4824432214198847,-0.7307805677862569,1.7949095383768965,-0.5774306417479452,0.4626155327928629,0.8527364600480818,0.15953510301692522,-0.14084416652893647,1.624200112603521,0.8812597674788911,1.1848129261239289,-0.5384965751897018,-0.75955452531275,0.3547891814105566,2.0851441405707476,-0.85639870647759,1.0144012287112794,0.6241806151062208,-0.5823123343919253,-0.8425337304185913,0.40557002538560893,1.8580998551142744,1.6493086273411413,1.8201554307769026,0.9988781173252858,-0.8637223276428759,1.6197820394967288,-0.6609961330071965,1.5999166147890846,-0.21840368668534715,0.8521572017646062,-0.4770166770456152,0.9116865039917821,-0.8834411721556247,0.05032024218510236,-0.7375985410791758,-0.43273396822838767,3.244627000783434,-0.808223859120487,-0.3669387621417666,1.20039282381363,-0.5050762722761053,0.29415525419695715,1.4194033543545475,-0.10729938440986903,-0.7638260225438572,1.2010923916968625,-0.3544660457336156,-0.514213097284196,-0.18802535827258876,-0.15523654577015214,-0.4515257662141457,-0.43027896780730024,158.9385930767565
Nc1ccc2c(c1S(=O)(=O)O)cccc2,180.0,Test,L,0.8609198062135984,0.37986701312725824,0.9139685289676541,0.6241309417524835,1.1651135849292082,-0.610276109536362,0.47429336086380514,0.022747875100405532,-0.07036897839259962,0.4996928380611041,0.629559950369779,-0.7526703649171078,-0.07622012090296096,-0.5009513644133332,0.14970050295848253,0.10581359220345532,-0.7284256371503812,-1.0089703110652348,0.30587850905469344,0.5687161387044933,0.0010457007047870541,0.6083838662658935,-0.971798531481811,0.07878972999531104,1.3378499115119529,0.37050160413835426,-0.4707524201661504,-0.3258443429113225,-0.32802018692842233,1.0164825104893984,0.07910231738874425,-0.6559446765474126,-2.935425698707567,0.2537945354293427,-0.03914420473159845,0.45989309878544654,-0.5163704587643475,-0.04792567217693521,-0.7121207495915282,0.14373795042463067,-2.444032781992216,-0.34691406371523986,-0.025725458810303886,-0.6199863324125591,0.19796716808142437,-0.3010298771509086,-0.2818942285464536,-0.5384965751897018,-0.75955452531275,0.3547891814105566,-0.4795831523312719,1.7338563975406946,-0.463639883359665,0.4355971954741259,-0.5823123343919253,-0.12851706044768552,-0.595467496589931,-0.0953378116495152,-0.32137013874547754,-0.2830444905674518,-0.035834092062685265,1.1753918047961593,-0.5648377705173161,-0.6609961330071965,-0.4437013848731147,-0.21840368668534715,-0.6223553488942459,-0.4770166770456152,-0.04097930516298156,-0.3007824042729289,-0.7952086406588679,0.43915010803276666,-0.43273396822838767,0.5367353633251544,-0.808223859120487,-0.3669387621417666,-0.3122199409139938,1.979898987322333,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.05056363213437555,-0.3694227947901685,-0.23578947311726633,-0.514213097284196,-0.18802535827258876,0.20639404380804285,-0.3952932404033373,-0.43027896780730024,143.54541502984026
Cc1ccc(cc1)C(=O)C=Cc1cccs1,79.0,Test,L,-0.9572276786237895,0.6794860549053804,0.3928383897353393,0.3907838358288415,-0.022353037538878098,-0.03551377053963515,0.04116591523691105,-0.06489575803289924,0.8405703634697278,-0.4080817687203297,-0.11865991099116037,-0.6573905423741061,-0.046633946806174886,-0.16965150938845394,-0.7402705340076996,0.10581359220345532,0.18692715286900405,-0.7753542480014463,0.7318071143301872,-0.6917046525882657,-0.9355095831411356,-0.37800459458636354,0.11637100483910325,0.5318919981030628,-0.5369125313295487,0.5913219018808296,0.04378878932129081,-0.7444508328485896,-0.4290705541856478,0.3629554951201259,0.09512099315582588,-0.6615059421919741,-0.22934013013456345,0.8165120104675142,-0.11381534876530862,-0.7531572756747849,-0.4490665401395026,-0.7307805677862569,-0.7121207495915282,0.13893088242835702,0.4951545460717143,0.338279787389802,-0.8111088827657899,0.05607038844173075,0.41590853553694335,-0.9132655510698636,-0.26114249111377574,-0.5384965751897018,-0.75955452531275,-0.44739959273463575,-0.4795831523312719,-0.85639870647759,1.0640463528869004,0.6464623308292807,-0.026777346123408513,0.2323531435460235,-0.21437533234433453,-0.7083677117161483,-0.1138579699856055,0.07538689671676505,-0.028280765313779897,-0.8637223276428759,0.5916106885132266,-0.6609961330071965,-0.07968842625340361,-0.21840368668534715,-0.11813699563080837,-0.4770166770456152,-0.05201190785845359,-0.8834411721556247,-0.017359928251771642,-0.7375985410791758,-0.43273396822838767,0.8293911611380796,-0.808223859120487,-0.3669387621417666,-0.26410660257192276,-0.5050762722761053,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.01268371345710211,-0.21554221688968275,-1.0519162290263453,0.557676312193975,-0.18802535827258876,-0.8784977249265421,-0.4220369082971249,-0.43027896780730024,89.62104936869153
Cc1ccc(cc1OP(=O)(Oc1cc(C)ccc1C)Oc1cc(C)ccc1C)C,79.8,Test,L,-0.1621470744679575,-2.0743069948590573,0.6621977850467874,-0.6699560861578802,1.1514558334007914,0.8266297379554551,1.6013689844006962,0.16430888039789285,0.03012087502232118,3.353062887981603,0.2586947180785162,-0.8827523731383243,-1.0470384826470653,0.6657135630907127,1.4704560482628926,0.8714060534402205,3.1917652492048245,-0.1913140903419749,0.05858277437911957,-0.7982670003261633,2.154790346430321,1.3964163305986608,-0.9533690376165553,-2.0078402787992897,1.353739786083129,1.379807407097904,-1.0190763201500386,-1.0812815235866144,-0.38518355487489303,-0.4825473026253117,0.5416151027602237,0.25321416565526156,-2.7714373459544195,-0.6285311932635042,-1.0845402212035422,2.1180590323873925,0.6996917229762941,1.6751609428056435,-0.7121207495915282,0.09694471916367904,-2.267950265136744,-0.34691406371523986,0.8085792986672398,3.436353992713179,0.4356096345180955,-0.9132655510698636,1.438627335066327,-0.5384965751897018,-0.75955452531275,-0.44739959273463575,-0.4795831523312719,-0.85639870647759,0.6988110189446056,1.3461380483551106,2.61087569013068,-1.7693822924000553,0.6600140728243769,-0.7083677117161483,1.50623576808366,1.6977940818640171,1.654359032629734,-0.8637223276428759,2.2267969706917774,1.5128681546902678,1.572444287016661,-0.21840368668534715,0.9105075764042205,-0.4770166770456152,1.2522197748317,0.9824318479713626,0.4532002548709508,-0.2066786902742179,-0.43273396822838767,1.1301843185341682,1.2372809695177827,-0.3669387621417666,1.4775685932642662,-0.5050762722761053,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.7638260225438572,1.307744679730357,0.8798060640851096,-0.514213097284196,-0.18802535827258876,0.20639404380804285,-0.7178859650997151,-0.43027896780730024,153.8764117739116
O=C(c1ccccc1)c1ccc(cc1)Oc1ccccc1,64.0,Test,L,-0.6922008105718456,-0.972259944640677,-0.3112507561281711,-0.8106754353576477,-0.20175765515694877,0.2518673989587283,0.8034301266127868,-0.2787872733907882,-0.5734412525408612,-0.34981829835875783,-0.1204203306606354,-0.8827523731383243,0.3650019290408478,-0.0040777685147452,-0.17976430269056304,0.8714060534402205,0.4689783788140201,-1.0089703110652348,0.44023093687621606,-1.1885940789319882,0.5182645481713024,-0.31469547090683414,0.06718953455201176,-1.4429998118709575,-0.19556107071448306,2.6156018693549545,0.11365536640178045,-0.7444508328485896,-0.5024675961054529,-0.4825473026253117,0.5672545708714178,-0.7340782520020506,-0.22934013013456345,0.2415535533490163,-1.2338825092709629,0.24900293029479686,-0.678818192762662,0.87318043927501,-0.7121207495915282,-0.5688505550716965,0.47221334614781346,-0.34691406371523986,-0.43246030523342,-0.6199863324125591,0.9108945673914374,-0.9132655510698636,0.18653120896037378,-0.5384965751897018,-0.75955452531275,-0.44739959273463575,-0.4795831523312719,-0.85639870647759,0.5213587485080213,0.8170095537922998,-0.5823123343919253,-1.6075515911017044,-0.06504186483819498,-0.7083677117161483,0.5931879610177552,0.543904929966871,0.0008351614922440563,-0.8637223276428759,0.9750546309694639,1.5128681546902678,-0.41753763271807703,-0.21840368668534715,0.22633472722249548,-0.4770166770456152,-0.0447626557318685,0.9421774192419659,-0.1997609057298669,-0.7375985410791758,-0.43273396822838767,2.483229509621784,1.2372809695177827,-0.3669387621417666,0.176214237043094,-0.5050762722761053,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.01268371345710211,0.19165997788132297,-0.3776740252241628,0.557676312193975,-0.18802535827258876,-0.8784977249265421,-0.7178859650997151,-0.43027896780730024,142.271079120461
CC(=O)Nc1ccc(cc1F)F,122.0,Test,L,-0.6118026274141594,0.7178987525692425,-0.4515053428667389,-0.40970240615796416,-0.6379052088367803,-0.610276109536362,-0.5704178647801496,0.6608999182214214,0.549957943573668,-0.11902747525786334,-0.5478968482358305,-0.6321433327282134,0.6164663056127612,-0.3860859689279279,-0.6114606704133115,-0.6597788690333098,-0.6957783798580446,-0.6001422007036048,0.16330991634093958,0.48792649229745005,-0.6367250374561616,-0.06391801681560252,-0.08215774651068808,0.8555364753228858,0.9635591662433821,-0.6179058370049306,0.30333142781972233,-0.7372325602443709,-0.5548505471851477,-0.4825473026253117,-0.5126557018967731,-0.745520776750882,-0.22934013013456345,0.48692835560403824,0.0915302973273943,0.37169560997038953,-0.4490665401395026,0.8920694530602048,-0.4589998652456211,-0.4483498850606269,-0.06250810848714426,-0.34691406371523986,-0.6539013564015252,0.5160392366857167,-0.9902451641019306,-0.3010298771509086,-0.7916908345985652,-0.5384965751897018,-0.75955452531275,-0.44739959273463575,-0.4795831523312719,0.007019661528504874,-0.955813241599133,0.9790865986942585,-0.23600604955291174,0.9167621511202994,-0.5176132078638943,-0.13990949547466613,-0.7080275287113552,-0.8703957340691749,-0.8875486000495351,0.1558347385766417,-0.435973303800762,-0.6609961330071965,-0.39471791243924326,-0.21840368668534715,-0.5982452009679041,-0.4770166770456152,-0.9228684816097578,-0.22720745055493152,-0.5362670129269809,-0.1799888932582161,2.310888613838194,-0.4934699107709697,-0.808223859120487,-0.3669387621417666,-0.8093735823669519,-0.5050762722761053,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.01268371345710211,-0.7068618337967532,-0.29512775942544106,-0.514213097284196,-0.18802535827258876,-0.15523654577015214,-0.027107928976694645,1.265111702374373,117.93845350181255
CC(=O)O[C@@H]1CCC2(C(C1)CCC1C2CCC2(C1CC[C@@]2(O)/C=C/c1ccccc1)C)C,162.0,Test,L,-0.11132393725756318,0.564247961913795,-0.6067565387975715,-0.3786006383231028,-0.3790195959144913,-0.03551377053963515,1.350498465533503,-2.665314281993768,-0.6169376082721969,0.5461731301251225,-0.6468666159759314,0.458234907789943,-0.14415220823066052,0.09079181320345478,2.3988091618785967,2.4025909759137507,3.1588957613009,1.2466330564472063,-1.8105873302078448,-1.7908191006364007,0.5629840370726621,0.658889380967991,0.002206179264283011,0.11577767024900494,-0.20093408278741356,0.42279491129938596,0.23702053118116523,0.24553231057688826,3.1396702641391476,0.3629554951201259,0.9271661537970182,-0.7028466797550997,-0.22934013013456345,-2.7490723786869373,-0.05781199074002604,-0.7531572756747849,2.3164163244835785,0.12064163624188158,1.680887110524572,-0.5660656243777676,-0.01651806908515625,2.514481132987651,2.1555827764607476,2.7488651059412925,1.2164661657637528,-0.310323715875506,1.5717682026947177,-0.5384965751897018,-0.75955452531275,3.5635442779913262,-0.4795831523312719,0.007019661528504874,1.6440179756060174,0.682957653783406,1.2029710702911423,-0.3276178626511111,0.5026104321558541,-0.7083677117161483,1.9465727572701828,2.0488740623559343,2.7435390412563,0.1558347385766417,1.8335097070843833,1.5128681546902678,2.3329122247153533,-0.21840368668534715,0.8101201011926209,-0.4770166770456152,3.387169568584765,0.9826770890571475,2.35088167444103,0.3709131817573792,-0.43273396822838767,0.3187878074702575,1.2372809695177827,-0.3669387621417666,1.7275100059754447,-0.5050762722761053,4.126852273334044,-0.704521372964301,-0.10729938440986903,-0.01268371345710211,2.9656630220895916,0.3491859912159394,-0.514213097284196,-0.18802535827258876,-0.5168671353483472,0.9437296658342954,-0.43027896780730024,172.52079529758544
OC(c1ccc(cc1)Cl)c1ccc(cc1)Cl,92.0,Test,L,-0.8664925862029723,-1.6252758049263278,-0.15992792814366896,0.3911860182844306,-0.11147987925379604,-0.32289494003799857,-0.2143303392760036,-0.34489691373858766,0.046721242079201454,-1.0713006035525765,0.10928758611503987,0.40503442393280226,1.6034985871706764,-0.2073497231676268,-0.05420075436872998,0.10581359220345532,0.42069789145912345,-0.757383781611924,0.5100653373456114,-0.45941005780253125,-0.11933713888731692,-1.0986585992383329,-0.9533690376165553,-1.5486796411672261,-0.5369125313295487,0.9688235809433836,0.0035435252636189115,-0.7838645603369478,-0.4354661470500292,-0.4825473026253117,0.07910231738874425,0.6137452345406201,-0.22934013013456345,-0.018844923106808284,0.49288769650858744,-0.7531572756747849,-0.47626914667754294,0.12064163624188158,-0.7121207495915282,0.2910101742934323,0.024973310714837774,-0.4738668216754413,-0.37874542803978983,-0.6199863324125591,0.8692297966994592,-0.9132655510698636,0.011897043875864243,-0.5384965751897018,-0.75955452531275,-0.44739959273463575,-0.4795831523312719,0.007019661528504874,-0.10807451133481584,0.07982078316588,-0.5823123343919253,-1.2609028729796687,-0.1588136753724057,-0.7083677117161483,-0.13840657837946027,0.011776434750732619,-0.09685253562101734,0.1558347385766417,0.6536276625149693,-0.6609961330071965,-0.030261210390488603,-0.21840368668534715,-0.12648712157351719,-0.4770166770456152,-0.16370719453769497,0.20321293713748179,-0.15078941538866694,-0.7375985410791758,-0.43273396822838767,0.8595752803166453,-0.808223859120487,-0.3669387621417666,-0.03504443415336353,-0.5050762722761053,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.7638260225438572,-0.2438524571800657,-0.325056212586243,-0.514213097284196,-0.18802535827258876,-0.5168671353483472,-0.7178859650997151,-0.43027896780730024,109.49398808260597
Cc1cc(Br)c(c(c1)C(=O)O)N,204.0,Test,L,0.3707780253201331,0.8715495432246891,1.7743351436757735,0.693728030661735,1.5582051317056227,-0.610276109536362,-0.48842065216329295,0.01658135708798399,-0.7433576334556183,0.8311194473389478,-0.18663643582265704,0.1010547214456662,0.8430762317348977,-0.5281988727981622,-0.017448653232158353,-0.6597788690333098,0.6682607094343262,-0.6001422007036048,0.32286095655268343,1.1186242127524177,0.6929590388410697,0.9685122291534076,-0.0699696478865835,1.0404761765913553,-0.49953830588377834,-0.5674268683302903,-0.5637482627199283,-0.4361972486435778,-0.5292681757276223,-0.4825473026253117,-0.2458008234975112,-0.46591821563905833,-0.22934013013456345,0.37488837028222116,0.4835538035043736,0.45989309878544654,-0.4490665401395026,-0.7307805677862569,0.04626965998602412,2.299643809569911,-0.218405020361682,-0.34691406371523986,-0.33793416680463545,0.05607038844173075,-0.9902451641019306,0.29786446707473285,-0.20234759795606164,-0.5384965751897018,-0.75955452531275,-0.44739959273463575,-0.4795831523312719,1.7338563975406946,-0.9190836837408777,0.26108357269052423,-0.08028226498321558,1.414514156628863,-0.5178063218298292,-0.0953378116495152,-0.727948556357388,-0.5488052243458208,-0.48246083279347435,1.1753918047961593,-0.3778855567605924,-0.6609961330071965,-0.430937584742276,4.578677288724956,-0.6437968010650051,-0.4770166770456152,-0.49600974925970026,-0.39960144725498664,-0.1997609057298669,-0.7375985410791758,-0.43273396822838767,-0.5645594816142421,-0.808223859120487,2.2879711051192504,-0.2553749326081087,1.979898987322333,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.7638260225438572,-0.6267114954946912,0.49107054332283573,-0.514213097284196,-0.18802535827258876,-0.15523654577015214,-0.7178859650997151,-0.43027896780730024,189.35854801101289
OC12CCCCC1c1c2cccc1,112.0,Test,L,-0.8664925862029723,1.4861527058464783,-0.7325051763209903,-1.2097112521255158,0.054224305924670584,-0.8976572790347255,-0.45902316237203833,-2.1106613212132412,0.03952796860129404,-1.1311163455302322,-0.42093060408230404,0.28940483432788405,0.34484289138188473,-0.7836262350404594,1.7652584077895639,0.8714060534402205,-0.12765243341735572,0.626342130381285,-1.3667000005155705,-0.6946887289424425,-0.11194158797158857,-1.1636544222359264,-0.9533690376165553,0.8413103444560804,-0.5369125313295487,0.1384847042081839,-0.4166265902900868,-0.7838645603369478,2.1404818712500298,-0.4825473026253117,0.2223254774073415,0.18072787801380244,-0.22934013013456345,-2.150905095134102,0.6795655565928631,-0.7531572756747849,0.5556707319569165,-0.7307805677862569,0.15429936497471672,-0.577595144286612,0.15678667159734738,0.5603595986038532,1.5404772241150146,-0.6199863324125591,0.46338027668729465,-0.310323715875506,-0.8319831977648089,-0.5384965751897018,-0.75955452531275,2.7613555038461337,-0.4795831523312719,0.007019661528504874,-0.4198188102891911,0.17905371999235928,-0.5823123343919253,0.3615772218992086,-0.8398805971263816,-0.7083677117161483,-0.507362033225591,-0.5053038112514237,-0.12303054191042691,0.1558347385766417,-0.12092626572201834,-0.6609961330071965,-0.36919031217756587,-0.21840368668534715,-0.8801026662861955,-0.4770166770456152,0.21008880136282038,-0.2432673308881243,0.8027842185520287,-0.08619052186187616,-0.43273396822838767,-0.22286087255344672,1.2372809695177827,-0.3669387621417666,-0.7801559922898487,-0.5050762722761053,-0.3992794561043778,-0.704521372964301,-0.10729938440986903,-0.7638260225438572,0.06638074491448637,-0.325056212586243,-0.514213097284196,-0.18802535827258876,-1.240128314504737,0.8981370791040303,-0.43027896780730024,72.7823536643277
