number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,44.09673156738281,2026-02-02 11:31:15.575095,2026-02-02 11:31:22.650417,0 days 00:00:07.075322,32,0.41014536901988474,0.0009827289067426382,9.711554865937596e-05,COMPLETE
1,54.93164482116699,2026-02-02 11:31:22.710965,2026-02-02 11:31:25.481394,0 days 00:00:02.770429,64,0.4515691124031009,7.506007304858372e-05,4.003598311358632e-05,COMPLETE
2,54.45810241699219,2026-02-02 11:31:25.568204,2026-02-02 11:31:28.453884,0 days 00:00:02.885680,64,0.2451471274476283,3.2284890470223326e-05,4.9420371861722836e-05,COMPLETE
3,49.96137809753418,2026-02-02 11:31:28.554897,2026-02-02 11:31:44.445814,0 days 00:00:15.890917,16,0.4843875253778162,0.00016695918648847605,1.8734312899471417e-06,COMPLETE
4,54.35972671508789,2026-02-02 11:31:44.501927,2026-02-02 11:31:47.548852,0 days 00:00:03.046925,64,0.37680702475664485,0.0002210160509367477,0.0001184781689911731,COMPLETE
5,57.782175064086914,2026-02-02 11:31:47.653261,2026-02-02 11:31:59.688455,0 days 00:00:12.035194,16,0.20332501064180009,7.839382775013404e-05,3.5461640576444724e-05,COMPLETE
6,54.06451072692871,2026-02-02 11:31:59.745508,2026-02-02 11:32:03.028489,0 days 00:00:03.282981,64,0.26671848279564603,0.00010689789191878128,1.1532871499700845e-06,COMPLETE
7,58.70422210693359,2026-02-02 11:32:03.103311,2026-02-02 11:32:05.741636,0 days 00:00:02.638325,32,0.24260281589824803,1.3419917891383635e-05,0.00018102006608933303,COMPLETE
8,63.126456069946286,2026-02-02 11:32:05.801599,2026-02-02 11:32:09.562724,0 days 00:00:03.761125,16,0.4618614729765146,1.0467595456189583e-05,0.0003813678016128417,COMPLETE
9,53.9024600982666,2026-02-02 11:32:09.620025,2026-02-02 11:32:16.742749,0 days 00:00:07.122724,32,0.33219806611034947,0.00029440031483859237,0.00037968227970472173,COMPLETE
10,44.82321891784668,2026-02-02 11:32:16.806690,2026-02-02 11:32:27.074073,0 days 00:00:10.267383,32,0.392478579118195,0.0006853072642203511,0.0006324255903129236,COMPLETE
11,43.97364139556885,2026-02-02 11:32:27.135333,2026-02-02 11:32:35.431865,0 days 00:00:08.296532,32,0.39358067494518556,0.0009551946771714858,0.0009459303248566866,COMPLETE
12,44.26740970611572,2026-02-02 11:32:35.498231,2026-02-02 11:32:43.691243,0 days 00:00:08.193012,32,0.41172144117283793,0.0009131613510239629,8.08042520337366e-06,COMPLETE
13,49.03072242736816,2026-02-02 11:32:43.750007,2026-02-02 11:32:54.906541,0 days 00:00:11.156534,32,0.3332323569157946,0.00044248985206829213,9.477927540215676e-06,COMPLETE
14,44.35656547546387,2026-02-02 11:32:54.970346,2026-02-02 11:33:01.980686,0 days 00:00:07.010340,32,0.42434046901134276,0.0009874864957852528,0.0009420454326364074,COMPLETE
15,45.075023078918456,2026-02-02 11:33:02.046181,2026-02-02 11:33:10.688224,0 days 00:00:08.642043,32,0.29802429622090354,0.0006038098249057272,0.00012451625260871443,COMPLETE
16,51.90798416137695,2026-02-02 11:33:10.751783,2026-02-02 11:33:19.433933,0 days 00:00:08.682150,32,0.36417537120322657,0.00038171187789691317,1.0977949513048032e-05,COMPLETE
17,49.222513580322264,2026-02-02 11:33:19.498961,2026-02-02 11:33:30.757241,0 days 00:00:11.258280,32,0.4999985837140921,0.0004990740850650059,0.0002337031259398333,COMPLETE
18,59.29811820983887,2026-02-02 11:33:30.823898,2026-02-02 11:33:33.288543,0 days 00:00:02.464645,32,0.4316346047341488,3.809429413752461e-05,7.925466398192705e-05,COMPLETE
19,50.08299446105957,2026-02-02 11:33:33.384208,2026-02-02 11:33:49.451848,0 days 00:00:16.067640,16,0.3997438660504713,0.00015147048859512677,2.0664679425552963e-05,COMPLETE
