,Mean,Std
Accuracy,0.9614747718102528,0.004648325692393284
Precision,0.6216355292554576,0.08095137838454315
Recall,0.3248008147429016,0.08542113910788313
F1,0.4179973543727432,0.06819142900163284
Specificity,0.9904373985617946,0.0045546318028535085
Fold,4.5,3.0276503540974917
