,Mean,Std
Accuracy,0.9507516403200353,0.008200047350556246
Precision,0.45537722135953224,0.02745409096099468
Recall,0.5887107547443715,0.06792127247273767
F1,0.5109936616983821,0.02573743748363353
Specificity,0.9669605076533712,0.008975059279312565
Fold,4.5,3.0276503540974917
