Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,RMSE,R2,Q2,Is_Final
3,1,checkpoint_epoch_001.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_001.pt,127.327286,104.714317,105.191878,-3.183049,-3.18141,False
3,15,checkpoint_epoch_015.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_015.pt,38.346316,34.691551,35.504738,0.523458,0.523645,False
3,30,checkpoint_epoch_030.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_030.pt,36.43137,33.116212,33.822344,0.56755,0.567719,False
3,45,checkpoint_epoch_045.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_045.pt,34.89142,33.11902,33.757838,0.569198,0.569367,False
3,60,checkpoint_epoch_060.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_060.pt,34.100807,32.358464,32.98424,0.588716,0.588877,False
3,75,checkpoint_epoch_075.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_075.pt,33.855695,32.540099,33.212503,0.583004,0.583167,False
3,90,checkpoint_epoch_090.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_090.pt,33.420315,32.212173,32.911048,0.59054,0.5907,False
3,105,checkpoint_epoch_105.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_105.pt,32.997945,32.193368,32.884465,0.591201,0.591361,False
3,120,checkpoint_epoch_120.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_120.pt,32.740576,32.269239,32.948764,0.589601,0.589761,False
3,135,checkpoint_epoch_135.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_135.pt,32.456187,31.920713,32.604841,0.598123,0.598281,False
3,149,checkpoint_epoch_149_final.pt,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/checkpoints_int_Mw_best/fold_3/checkpoint_epoch_149_final.pt,32.208999,32.06105,32.760537,0.594276,0.594435,True
