Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
4,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_001.pt,0.648313,0.487939,0.901305,False
4,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_015.pt,0.16108,0.139175,0.949518,False
4,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_030.pt,0.136901,0.12217,0.951787,False
4,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_045.pt,0.128188,0.118554,0.95122,False
4,60,checkpoint_epoch_060.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_060.pt,0.121432,0.116295,0.956892,False
4,75,checkpoint_epoch_075.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_075.pt,0.117095,0.1155,0.959161,False
4,90,checkpoint_epoch_090.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_090.pt,0.11377,0.115095,0.956324,False
4,105,checkpoint_epoch_105.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_105.pt,0.112679,0.115159,0.956324,False
4,111,checkpoint_epoch_111_final.pt,checkpoints_binary_classifier/trial_019/fold_4/checkpoint_epoch_111_final.pt,0.110719,0.114727,0.956892,True
