Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
2,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_001.pt,1.187186,0.719373,0.557572,False
2,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_015.pt,0.160496,0.133595,0.958593,False
2,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_030.pt,0.14097,0.11717,0.963131,False
2,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_045.pt,0.130477,0.112397,0.965967,False
2,60,checkpoint_epoch_060.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_060.pt,0.12756,0.110698,0.964265,False
2,75,checkpoint_epoch_075.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_075.pt,0.117992,0.110329,0.961429,False
2,90,checkpoint_epoch_090.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_090.pt,0.112642,0.105163,0.9654,False
2,105,checkpoint_epoch_105.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_105.pt,0.110323,0.103495,0.9654,False
2,120,checkpoint_epoch_120.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_120.pt,0.107127,0.103174,0.963698,False
2,135,checkpoint_epoch_135.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_135.pt,0.104694,0.102797,0.962564,False
2,150,checkpoint_epoch_150.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_150.pt,0.100413,0.103757,0.964265,False
2,163,checkpoint_epoch_163_final.pt,checkpoints_binary_classifier/trial_019/fold_2/checkpoint_epoch_163_final.pt,0.098398,0.103455,0.9654,True
