Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
6,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_001.pt,1.158496,0.757076,0.429625,False
6,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_015.pt,0.160095,0.166354,0.942679,False
6,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_030.pt,0.140502,0.147607,0.943814,False
6,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_045.pt,0.126176,0.141553,0.947787,False
6,60,checkpoint_epoch_060.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_060.pt,0.12435,0.137042,0.948922,False
6,75,checkpoint_epoch_075.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_075.pt,0.112301,0.133073,0.951759,False
6,90,checkpoint_epoch_090.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_090.pt,0.112509,0.132308,0.950057,False
6,105,checkpoint_epoch_105.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_105.pt,0.106901,0.133809,0.951192,False
6,120,checkpoint_epoch_120.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_120.pt,0.10228,0.130563,0.952327,False
6,135,checkpoint_epoch_135.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_135.pt,0.099934,0.133569,0.948922,False
6,150,checkpoint_epoch_150.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_150.pt,0.099218,0.134739,0.950624,False
6,153,checkpoint_epoch_153_final.pt,checkpoints_binary_classifier/trial_019/fold_6/checkpoint_epoch_153_final.pt,0.099619,0.127614,0.950624,True
