Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
3,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_013/fold_3/checkpoint_epoch_001.pt,0.374733,0.240037,0.963698,False
3,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_013/fold_3/checkpoint_epoch_015.pt,0.133314,0.105209,0.964833,False
3,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_013/fold_3/checkpoint_epoch_030.pt,0.120954,0.099948,0.9654,False
3,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_013/fold_3/checkpoint_epoch_045.pt,0.10775,0.097196,0.965967,False
3,60,checkpoint_epoch_060.pt,checkpoints_binary_classifier/trial_013/fold_3/checkpoint_epoch_060.pt,0.10516,0.097308,0.967669,False
3,71,checkpoint_epoch_071_final.pt,checkpoints_binary_classifier/trial_013/fold_3/checkpoint_epoch_071_final.pt,0.097467,0.096938,0.967669,True
