Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
5,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_001.pt,0.7341,0.630507,0.72815,False
5,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_015.pt,0.347247,0.33591,0.944381,False
5,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_030.pt,0.19895,0.197739,0.957435,False
5,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_045.pt,0.161518,0.155539,0.956867,False
5,60,checkpoint_epoch_060.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_060.pt,0.141873,0.141268,0.958002,False
5,75,checkpoint_epoch_075.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_075.pt,0.131888,0.132975,0.958002,False
5,90,checkpoint_epoch_090.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_090.pt,0.129188,0.128915,0.958002,False
5,105,checkpoint_epoch_105.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_105.pt,0.121765,0.126618,0.960272,False
5,120,checkpoint_epoch_120.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_120.pt,0.123243,0.123183,0.960272,False
5,135,checkpoint_epoch_135.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_135.pt,0.119341,0.12296,0.956867,False
5,150,checkpoint_epoch_150.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_150.pt,0.1152,0.121052,0.958002,False
5,165,checkpoint_epoch_165.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_165.pt,0.113015,0.119934,0.958002,False
5,180,checkpoint_epoch_180.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_180.pt,0.110821,0.11881,0.958002,False
5,195,checkpoint_epoch_195.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_195.pt,0.110255,0.119525,0.957435,False
5,210,checkpoint_epoch_210.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_210.pt,0.109433,0.117621,0.95857,False
5,225,checkpoint_epoch_225.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_225.pt,0.10674,0.11585,0.95857,False
5,240,checkpoint_epoch_240.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_240.pt,0.10152,0.116494,0.957435,False
5,255,checkpoint_epoch_255.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_255.pt,0.101622,0.116608,0.958002,False
5,268,checkpoint_epoch_268_final.pt,checkpoints_binary_classifier/trial_005/fold_5/checkpoint_epoch_268_final.pt,0.103458,0.11584,0.956867,True
