Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
3,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_004/fold_3/checkpoint_epoch_001.pt,0.228295,0.125248,0.964265,False
3,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_004/fold_3/checkpoint_epoch_015.pt,0.093242,0.098081,0.9654,False
3,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_004/fold_3/checkpoint_epoch_030.pt,0.069216,0.10943,0.966534,False
3,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_004/fold_3/checkpoint_epoch_045.pt,0.05748,0.123156,0.966534,False
3,46,checkpoint_epoch_046_final.pt,checkpoints_binary_classifier/trial_004/fold_3/checkpoint_epoch_046_final.pt,0.056868,0.124248,0.967102,True
