Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
3,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_011/fold_3/checkpoint_epoch_001.pt,0.240714,0.11621,0.963131,False
3,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_011/fold_3/checkpoint_epoch_015.pt,0.105386,0.098793,0.967669,False
3,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_011/fold_3/checkpoint_epoch_030.pt,0.0901,0.105393,0.967669,False
3,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_011/fold_3/checkpoint_epoch_045.pt,0.072698,0.106114,0.967102,False
3,52,checkpoint_epoch_052_final.pt,checkpoints_binary_classifier/trial_011/fold_3/checkpoint_epoch_052_final.pt,0.066852,0.119169,0.968803,True
