Fold,Epoch,Checkpoint_Filename,Checkpoint_Path,Train_Loss,Val_Loss,Accuracy,Is_Final
6,1,checkpoint_epoch_001.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_001.pt,0.726836,0.631564,0.695233,False
6,15,checkpoint_epoch_015.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_015.pt,0.337567,0.338037,0.92622,False
6,30,checkpoint_epoch_030.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_030.pt,0.195697,0.213926,0.944381,False
6,45,checkpoint_epoch_045.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_045.pt,0.156343,0.173662,0.946652,False
6,60,checkpoint_epoch_060.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_060.pt,0.140586,0.1602,0.944381,False
6,75,checkpoint_epoch_075.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_075.pt,0.132053,0.153044,0.944949,False
6,90,checkpoint_epoch_090.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_090.pt,0.130181,0.147358,0.943814,False
6,105,checkpoint_epoch_105.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_105.pt,0.125531,0.143739,0.944381,False
6,120,checkpoint_epoch_120.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_120.pt,0.121186,0.141168,0.943814,False
6,135,checkpoint_epoch_135.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_135.pt,0.117038,0.13895,0.946652,False
6,150,checkpoint_epoch_150.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_150.pt,0.114134,0.137183,0.946652,False
6,165,checkpoint_epoch_165.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_165.pt,0.109872,0.136252,0.946652,False
6,180,checkpoint_epoch_180.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_180.pt,0.106052,0.134134,0.946652,False
6,195,checkpoint_epoch_195.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_195.pt,0.108297,0.132929,0.946652,False
6,210,checkpoint_epoch_210.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_210.pt,0.106002,0.132134,0.945516,False
6,225,checkpoint_epoch_225.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_225.pt,0.104178,0.13095,0.946084,False
6,240,checkpoint_epoch_240.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_240.pt,0.103449,0.130221,0.946652,False
6,255,checkpoint_epoch_255.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_255.pt,0.102679,0.130602,0.948922,False
6,270,checkpoint_epoch_270.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_270.pt,0.099825,0.12977,0.946084,False
6,285,checkpoint_epoch_285.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_285.pt,0.100696,0.130109,0.944949,False
6,298,checkpoint_epoch_298_final.pt,checkpoints_binary_classifier/trial_005/fold_6/checkpoint_epoch_298_final.pt,0.09771,0.129599,0.947219,True
