SMILES,MP,Type,MP_label,MACCS_106,MACCS_107,MACCS_128,MACCS_129,MACCS_130,MACCS_131,MACCS_141,MACCS_142,MACCS_143,MACCS_144,MACCS_145,MACCS_146,MACCS_147,MACCS_148,MACCS_149,MACCS_150,MACCS_151,MACCS_152,RDKit_fr_pyridine,MACCS_127,MACCS_126,MACCS_125,MACCS_115,MACCS_108,MACCS_109,MACCS_110,MACCS_111,MACCS_112,MACCS_113,MACCS_114,MACCS_116,MACCS_124,MACCS_117,MACCS_118,MACCS_119,MACCS_120,MACCS_121,MACCS_122,MACCS_123,RDKit_qed,MP_pred,AE,lower,upper,uncertainty
COc1ccc(cc1)c1coc2c(c1=O)ccc(c2)O,256.5,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,-0.5620843927995341,-0.4278323665983181,-0.6968360482824146,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,0.9915735796549311,-0.690145843990044,1.1124787902901199,-0.2651397402692377,1.180292813529779,1.6148999429688078,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,-0.6160291182816282,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,-0.6441698587346496,1.1390438591168224,282.7331578304893,26.23315783048929,252.81807787967563,292.7180015493363,39.899923669660666
Clc1ccc(cc1)N/C=C/1\C(=O)NN=C1c1c(O)c2ccccc2n(c1=O)C,290.0,Test,H,-0.48494075685339844,1.5278873760931782,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,1.4459492490295884,-0.6819073025533925,0.9915735796549311,1.448969096471769,1.1124787902901199,2.9894370715488794,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,-0.43000140590801145,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,2.22808753693419,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,0.04041672681997565,282.7331578304893,7.26684216951071,261.29252179891233,288.24127425941543,26.9487524605031
CC(=O)Nc1cccc(c1)/N=N/c1cccc(c1)NC(=O)C,272.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,-0.8472473851716541,-0.893025632775073,1.2105927780254617,-0.7639059404563003,-0.5830341819052273,-0.6915872052017898,1.4664749831179598,-1.00849802830366,1.448969096471769,-0.8988935418168404,-0.2651397402692377,-0.8472473851716541,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,2.22808753693419,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,-0.6441698587346496,1.5055704004776573,282.7331578304893,10.73315783048929,252.85602503849353,278.16556816918813,25.309543130694607
CC(=O)c1nn(c2c1cc1c(nn(c1c2)c1ccccc1)C(=O)C)c1ccccc1,311.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,2.0834389280579537,-0.5620843927995341,-0.4278323665983181,1.4350577908029218,-0.8472473851716541,-0.893025632775073,1.2105927780254617,-0.7639059404563003,-0.5830341819052273,1.4459492490295884,1.4664749831179598,-1.00849802830366,-0.690145843990044,1.1124787902901199,-0.2651397402692377,-0.8472473851716541,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,1.623299890091938,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,-1.07733213126075,282.7331578304893,28.26684216951071,252.83903580629786,292.7118472889388,39.87281148264097
Oc1ccc(c(c1)O)c1oc2cc(O)cc(c2c(=O)c1O)O,303.5,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,-0.6968360482824146,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,0.9915735796549311,-0.690145843990044,1.1124787902901199,-0.2651397402692377,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,-0.6160291182816282,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,-0.6441698587346496,-0.7581852629565623,282.7331578304893,20.76684216951071,259.7552762222272,326.5636202830424,66.80834406081516
O=C1N(c2c[nH]nc2)C(=O)c2c1cccc2,260.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,-0.5620843927995341,-0.4278323665983181,1.4350577908029218,1.180292813529779,1.1197886861237172,-0.8260416038752942,-0.7639059404563003,-0.5830341819052273,1.4459492490295884,-0.6819073025533925,0.9915735796549311,1.448969096471769,-0.8988935418168404,-0.2651397402692377,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,-0.44881540039310247,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,0.8262744871845898,282.7331578304893,22.73315783048929,256.3246991998351,298.78067109282256,42.45597189298746
OCC(=O)C12OC(OC1CC1C2(C)CC(O)C2C1CCC1=CC(=O)C=CC21C)(C)C,274.0,Test,H,-0.48494075685339844,-0.6544985027345466,2.0358502645371237,2.01822504276216,-0.479975672208513,1.7790922729936882,2.337364066096656,-0.6968360482824146,1.180292813529779,-0.893025632775073,1.2105927780254617,1.309061688147987,1.7151653042574968,-0.6915872052017898,1.4664749831179598,0.9915735796549311,-0.690145843990044,1.1124787902901199,-0.2651397402692377,1.180292813529779,-0.6192334109329493,-0.7639059404563003,2.350048355401921,2.3583438086651722,2.213627530294589,-0.53777119759482,-0.43000140590801145,1.747319976863636,-0.6220546755152169,-0.38143260166289866,2.226102782181889,-0.6160291182816282,-0.566939803740711,1.7265125086533049,-0.44881540039310247,1.814168359103603,-0.6604519896951206,-0.596705999026643,1.5523855803565716,0.7891139517212323,282.7331578304893,8.73315783048929,252.73392284691684,290.26491116952354,37.5309883226067
C=C/C=C(\C(=C/C)\Cl)/C=C/1\C(=O)NN=C1c1c(O)c2ccccc2n(c1=O)C,260.0,Test,H,-0.48494075685339844,1.5278873760931782,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,1.4459492490295884,1.4664749831179598,0.9915735796549311,1.448969096471769,1.1124787902901199,2.9894370715488794,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,-0.43000140590801145,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,2.22808753693419,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,0.16381087057230725,282.7331578304893,22.73315783048929,259.2052223455157,284.8460672768503,25.640844931334584
O=C1NN=C(C1)c1c(O)c2ccccc2n(c1=O)C,287.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,1.4459492490295884,-0.6819073025533925,0.9915735796549311,1.448969096471769,1.1124787902901199,2.9894370715488794,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,2.325573791760872,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,2.22808753693419,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,1.1594035676634677,282.7331578304893,4.26684216951071,256.90436180067303,285.811421696671,28.907059895997975
OC1CCC2(C(C1)CCC1C2C(O)CC2(C1(O)CCC2c1ccc(=O)oc1)C)C,254.0,Test,H,-0.48494075685339844,-0.6544985027345466,2.0358502645371237,2.01822504276216,-0.479975672208513,1.7790922729936882,-0.4278323665983181,-0.6968360482824146,1.180292813529779,-0.893025632775073,1.2105927780254617,1.309061688147987,1.7151653042574968,-0.6915872052017898,1.4664749831179598,0.9915735796549311,-0.690145843990044,1.1124787902901199,-0.2651397402692377,1.180292813529779,-0.6192334109329493,-0.7639059404563003,2.350048355401921,2.3583438086651722,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,1.747319976863636,1.6075757314608237,-0.38143260166289866,2.226102782181889,-0.6160291182816282,-0.566939803740711,1.7265125086533049,-0.44881540039310247,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,1.5523855803565716,0.5037379027956026,282.7331578304893,28.73315783048929,253.47426940197127,298.78301767468355,45.30874827271228
